385,ALTDORF,,UR,H 2,ADT,"10,212","10,498","10,390","10,794","10,950","10,809","10,327","10,370","9,528","9,051","9,229","8,718","10,069"
,,,,,AWT,"11,161","11,217","11,257","11,843","11,743","11,689","11,043","11,221","9,934","9,598","10,121","9,625","10,853"
,,,,,ADT Tu-Th,"11,261","11,156","11,323","11,858","11,828","11,648","11,043","11,320","9,925","9,572","10,126","9,799","10,892"
,,,,,ADT Sa,"9,420","10,332","9,977","10,520","10,499","10,553","9,816","9,703","9,178","8,515","8,694","8,316","9,634"
,,,,,ADT Su,"6,667","7,069","7,160","7,479","8,072","8,046","6,718","8,090","7,645","6,443","6,197","5,811","7,142"
391,MOUDON S,,VD,H 1,ADT,"13,030","14,224","14,923","14,545","14,891","14,525","13,665","12,811","14,740","14,685","14,380","13,130","14,124"
,,,,,AWT,"14,615","15,769","16,592","16,389","16,276","16,363","14,944","14,559","15,913","16,036","16,029","14,772","15,679"
,,,,,ADT Tu-Th,"14,562","15,795","16,698","16,308","16,519","16,202","15,029","14,750","16,260","16,104","16,137","14,641","15,737"
,,,,,ADT Sa,"10,661","11,609","12,830","12,640","13,392","12,705","11,178","10,781","13,015","12,060","12,936","11,456","12,134"
,,,,,ADT Su,"7,948","9,116","10,010","9,668","10,570","9,613","8,793","8,672","10,015","9,536","9,225","8,502","9,289"
392,PLAUN DA LEJ,,GR,H 3b,ADT,"4,502","5,261","4,747","4,018","3,582","5,041","5,981","6,864","4,883","4,585","3,353","5,001","4,820"
,,,,,AWT,"4,243","5,001","4,695","4,200","3,808","4,949","6,076","7,009","4,915","4,713","3,705","5,012","4,865"
,,,,,ADT Tu-Th,"3,835","4,615","4,481","4,120","3,712","4,833","5,979","6,761","4,780","4,556","3,606","4,681","4,676"
,,,,,ADT Sa,"5,143","5,792","4,635","3,949","3,180","5,262","5,878","6,696","4,667","4,397","2,792","5,224","4,765"
,,,,,ADT Su,"5,133","6,033","5,079","3,460","3,035","5,197","5,541","6,521","4,923","4,040","2,505","4,813","4,681"
394,GLARUS N,,GL,H 17,ADT,"18,285","19,556","19,514","18,330","20,097","20,339","18,091","19,064","20,294","19,621","19,408","18,494","19,252"
,,,,,AWT,"19,780","21,039","21,238","20,440","21,726","22,129","19,280","21,172","21,326","20,930","21,471","20,441","20,892"
,,,,,ADT Tu-Th,"19,629","20,923","21,174","20,383","21,588","22,319","19,297","21,392","21,290","20,789","21,467","20,175","20,821"
,,,,,ADT Sa,"17,249","18,177","18,232","17,228","19,401","19,281","16,835","16,676","19,548","18,203","17,878","17,733","18,037"
,,,,,ADT Su,"12,536","13,518","13,553","12,034","13,952","15,077","12,510","14,027","15,369","13,516","12,688","12,188","13,388"
395,GSTAAD S,,BE,H 142,ADT,"4,182","4,891","4,123",,,,,,,,"3,925","4,718",
,,,,,AWT,"4,399","5,134","4,550",,,,,,,,"4,460","5,098",
,,,,,ADT Tu-Th,"4,326","5,023","4,538",,,,,,,,"4,490","5,050",
,,,,,ADT Sa,"3,865","4,670","3,633",,,,,,,,"3,436","4,150",
,,,,,ADT Su,"3,478","3,902","2,817",,,,,,,,"2,273","3,765",
396,REICHENBACH S,,BE,H 223,ADT,"15,850","17,175","16,255","14,783","15,367","16,455","16,951","18,488","16,357","16,159","14,243","15,810","16,157"
,,,,,AWT,"15,806","16,733","16,344","15,527","15,988","16,911","17,388","19,143","16,208","16,524","15,118","16,026","16,476"
,,,,,ADT Tu-Th,"15,042","16,015","16,000","15,290","15,664","16,847","17,321","18,733","15,800","16,290","14,912","15,646","16,132"
,,,,,ADT Sa,"17,347","20,597","17,172","14,981","14,733","15,884","16,820","17,160","17,461","15,901","13,835","16,422","16,464"
,,,,,ADT Su,"14,846","15,963","14,965","12,171","13,392","15,319","14,565","17,412","16,069","14,321","11,151","14,646","14,545"
397,CHARMEY,,FR,H 189,ADT,"6,858","7,414","6,372","6,450","7,253","7,163","7,543","7,743","7,562","7,303","6,500","6,495","7,053"
,,,,,AWT,"6,501","7,034","6,507","6,627","7,046","6,985","7,474","7,479","7,253","7,212","6,476","6,547","6,935"
,,,,,ADT Tu-Th,"6,389","6,862","6,485","6,543","6,860","6,991","7,522","7,410","7,069","7,161","6,429","6,514","6,862"
,,,,,ADT Sa,"7,484","8,261","6,178","6,527","7,714","7,258","8,072","7,499","8,395","7,589","7,050","6,391","7,348"
,,,,,ADT Su,"7,926","8,467","6,000","5,811","7,662","7,693","7,410","8,827","8,428","7,542","6,045","6,386","7,298"
398,ROUGEMONT W,,VD,H 11,ADT,"4,298","4,747","3,828","3,250","3,564","4,009","4,333","4,992","3,999","3,480","3,252","4,682","4,035"
,,,,,AWT,"4,181","4,721","3,875","3,434","3,646","4,038","4,368","4,928","3,924","3,629","3,429","4,608","4,063"
,,,,,ADT Tu-Th,"4,026","4,545","3,874","3,412","3,541","4,031","4,364","4,815","3,911","3,654","3,395","4,548","4,007"
,,,,,ADT Sa,"4,523","4,930","3,857","3,274","3,487","3,933","4,306","4,987","4,347","3,187","3,273","4,886","4,068"
,,,,,ADT Su,"4,634","4,694","3,598","2,623","3,294","3,963","4,156","5,213","4,068","2,912","2,520","4,807","3,886"
399,ROSÉ,,FR,H 181,ADT,"15,566","16,749","16,690","16,870","17,627","17,463","17,184","15,366","17,765","17,401","17,259","15,960","16,820"
,,,,,AWT,"17,440","18,424","18,563","19,106","19,450","19,440","18,800","17,230","19,186","18,963","19,366","17,960","18,660"
,,,,,ADT Tu-Th,"17,313","18,368","18,509","18,946","19,290","19,083","18,745","17,452","18,970","18,770","19,329","18,033","18,569"
,,,,,ADT Sa,"14,007","15,434","15,607","15,781","16,700","16,840","15,489","14,604","16,975","15,791","16,488","15,322","15,761"
,,,,,ADT Su,"8,568","9,693","9,907","10,143","10,897","11,289","9,588","9,788","10,744","10,033","9,602","9,386","9,979"
501,"SUGIEZ, LE PÉAGE N",,FR,H 10,ADT,,,,,,,"12,970","13,263",,,,,
,,,,,AWT,,,,,,,"13,497","13,731",,,,,
,,,,,ADT Tu-Th,,,,,,,"13,606","13,616",,,,,
,,,,,ADT Sa,,,,,,,"12,721","12,984",,,,,
,,,,,ADT Su,,,,,,,"10,185","11,935",,,,,
502,"OBERURNEN, ZUBRINGER GLARNERLAND (AB)",,GL,A 17,ADT,,,"17,387","17,006","18,055","18,605","16,787","18,612","18,792","17,529",,,
,,,,,AWT,,,"18,880","18,874","19,509","20,050","17,824","20,905","19,563","18,635",,,
,,,,,ADT Tu-Th,,,"19,024","18,884","19,575","20,165","17,815","21,030","19,423","18,582",,,
,,,,,ADT Sa,,,"16,268","15,799","17,124","17,741","15,530","14,874","18,365","16,453",,,
,,,,,ADT Su,,,"12,238","11,583","12,876","14,367","12,078","14,085","14,980","12,247",,,
503,MAGADINO,,TI,H 405,ADT,"7,660","8,723","9,014","10,505","10,611","11,007","12,291","10,792","10,758","10,574",,,
,,,,,AWT,"8,645","9,956","10,323","11,792","11,500","12,024","13,198","11,389","11,550","11,492",,,
,,,,,ADT Tu-Th,"8,877","9,970","10,267","11,788","11,401","11,908","13,251","11,403","11,579","11,528",,,
,,,,,ADT Sa,"6,204","6,396","7,069","8,922","9,590","9,727","10,923","10,473","9,120","8,855",,,
,,,,,ADT Su,"4,491","4,880","5,463","7,268","7,895","8,469","8,445","9,070","8,041","7,017",,,
504,"NYON, CRASSIER (AR)",,VD,A 1,ADT,"76,486","81,809","82,796","85,190","85,868","89,547","88,682","86,066","87,313","86,602","83,049","81,415","84,573"
,,,,,AWT,"79,752","84,196","85,549","88,400","88,451","92,654","90,847","87,752","88,680","88,475","86,216","84,519","87,127"
,,,,,ADT Tu-Th,"78,373","82,927","84,755","87,542","88,908","91,556","89,436","86,562","88,107","87,191","85,378","82,540","86,143"
,,,,,ADT Sa,"76,650","82,720","82,956","85,715","84,687","89,198","88,173","86,489","88,541","86,182","83,246","83,026","84,763"
,,,,,ADT Su,"61,985","68,960","71,074","74,143","76,200","79,425","76,740","80,096","78,572","76,255","70,184","69,476","73,636"
505,"GLAND, DUILLIER (AR)",,VD,A 1,ADT,"73,265","78,768","79,913","81,989","82,697","85,818","82,272","81,710","84,264","83,531","80,158","78,086","81,036"
,,,,,AWT,"76,735","81,409","82,730","85,052","85,378","89,120","84,207","83,686","85,577","85,483","83,363","81,251","83,648"
,,,,,ADT Tu-Th,"75,392","80,185","82,091","84,038","85,863","88,312","83,056","82,777","85,542","84,196","82,672","79,447","82,785"
,,,,,ADT Sa,"73,728","79,195","80,361","83,135","81,860","85,315","81,974","81,006","86,051","83,138","81,198","80,367","81,418"
,,,,,ADT Su,"57,627","65,136","67,634","71,018","72,275","75,147","71,448","75,713","75,258","72,702","66,299","65,489","69,692"
506,SOLDUNO N,,TI,H 407,ADT,"9,884","11,045","11,278","12,617","12,918",,,"13,987","11,002","12,968","11,050","10,652",
,,,,,AWT,"10,834","12,151","12,363","13,658","13,583",,,"14,482","11,786","13,644","12,287","11,708",
,,,,,ADT Tu-Th,"11,051","12,135","12,228","13,518","13,387",,,"14,287","11,526","13,634","12,324","11,791",
,,,,,ADT Sa,"8,630","9,080","9,954","11,819","12,407",,,"13,603","8,983","11,896","9,686","9,732",
,,,,,ADT Su,"6,704","7,480","8,043","9,681","10,635",,,"12,660","8,710","10,154","7,463","7,570",
507,CIRCONVALLAZIONE DI LUGANO,,TI,A 2,ADT,"48,665","50,536","51,862","60,044","58,164","64,018","68,913","65,888","66,127","62,002","52,196","51,392","58,356"
,,,,,AWT,"52,089","54,669","55,957","62,078","60,055","64,823","68,682","64,565","66,359","62,711","56,088","54,767","60,311"
,,,,,ADT Tu-Th,"52,662","54,491","55,114","61,832","58,861","63,102","66,690","63,113","64,959","61,457","55,772","54,029","59,502"
,,,,,ADT Sa,"46,105","43,695","47,253","58,941","57,588","67,358","75,405","72,392","70,210","65,870","48,119","51,023","58,484"
,,,,,ADT Su,"35,650","36,714","39,270","53,998","50,797","59,106","63,755","64,877","60,773","54,055","40,703","39,823","50,002"
508,MENDRISIO N  (AS),,TI,A 2,ADT,"59,641","62,789","63,616","73,144","71,302","76,299","82,334","76,093","78,054","74,881","64,896","63,678","70,596"
,,,,,AWT,"63,373","67,473","67,966","75,779","73,304","77,629","82,819","75,190","78,688","75,975","68,833","67,407","72,956"
,,,,,ADT Tu-Th,"64,012","67,187","67,173","75,534","72,187","76,007","80,691","73,635","76,812","74,503","68,156","66,554","72,071"
,,,,,ADT Sa,"55,614","53,911","57,491","70,675","69,456","78,824","86,098","80,744","79,770","76,857","60,812","63,341","69,286"
,,,,,ADT Su,"46,437","48,246","51,470","66,006","64,742","70,181","75,787","75,224","72,851","66,612","53,231","50,853","61,783"
509,ROLLE N (AR),,VD,A 1,ADT,"73,385","79,190","80,009","81,738","82,878","85,991","86,065","83,405","84,356","84,125","80,351","78,227","81,647"
,,,,,AWT,"76,913","82,001","83,004","84,945","85,929","89,616","88,348","85,679","85,889","86,565","83,629","81,286","84,493"
,,,,,ADT Tu-Th,"75,803","81,125","82,514","84,063","86,652","89,051","87,120","84,720","86,188","85,803","82,951","79,628","83,832"
,,,,,ADT Sa,"73,296","78,941","79,442","82,053","81,170","85,143","85,222","83,501","85,054","82,018","80,527","80,346","81,375"
,,,,,ADT Su,"57,934","65,384","67,997","70,838","71,772","74,473","73,783","75,745","75,232","72,203","67,062","66,106","69,887"
510,QUARTINO,,TI,H 13,ADT,"22,924","25,369","26,132","27,804","28,305","28,942","30,072","28,792","28,344","28,104","25,268","24,419","27,047"
,,,,,AWT,"24,649","27,298","27,942","29,373","29,082","29,811","30,835","29,356","28,845","28,788","27,205","25,986","28,270"
,,,,,ADT Tu-Th,"25,026","27,200","27,651","29,279","28,664","29,592","30,786","29,104","28,716","28,515","27,149","25,718","28,157"
,,,,,ADT Sa,"21,534","22,430","24,370","26,783","28,099","28,096","28,926","28,328","27,646","27,791","23,955","24,081","26,017"
,,,,,ADT Su,"16,442","18,661","20,292","23,257","25,249","26,610","26,833","27,297","26,281","24,488","18,834","19,161","22,785"
511,MORGES CENTRE (AR),,VD,A 1,ADT,"75,750","81,815","82,859","83,889","84,435","87,604","87,045","85,977","86,459","85,529","82,427","80,721","83,709"
,,,,,AWT,"78,916","84,324","85,411","87,473","86,615","91,093","89,026","87,962","87,402","87,806","85,187","83,634","86,228"
,,,,,ADT Tu-Th,"77,328","83,601","84,853","86,969","88,124","90,569","87,356","86,858","87,824","87,116","84,514","81,942","85,597"
,,,,,ADT Sa,"78,683","84,314","84,905","86,722","85,241","88,506","87,885","87,662","90,379","84,657","85,361","84,472","85,737"
,,,,,ADT Su,"59,472","66,775","70,094","70,051","74,473","75,374","74,813","77,954","77,353","73,307","68,453","68,025","71,331"
512,DERENDINGEN (AB),,SO,A 1,ADT,"64,277","68,649","69,467","71,282","70,038","71,225","71,168","73,651","70,620","69,937","67,122","67,370","69,569"
,,,,,AWT,"64,828","68,304","69,574","71,766","70,420","71,358","71,226","73,746","70,031","69,872","67,601","67,453","69,660"
,,,,,ADT Tu-Th,"63,549","66,765","69,129","71,385","70,052","70,462","70,911","72,558","69,470","69,037","67,061","66,520","68,934"
,,,,,ADT Sa,"70,496","75,081","73,587","73,981","71,678","74,150","73,493","74,969","75,622","72,930","70,663","71,449","73,140"
,,,,,ADT Su,"56,874","63,936","64,896","67,872","66,796","68,832","68,509","72,237","68,855","67,320","61,666","64,362","66,091"
513,WANGEN A. A. (AB),,BE,A 1,ADT,,,"90,658","93,588","92,141","92,646","92,056","93,113","91,658","90,299","87,498","86,507",
,,,,,AWT,,,"92,342","94,879","92,547","93,240","92,885","94,462","91,301","90,603","87,905","87,353",
,,,,,ADT Tu-Th,,,"92,110","94,758","91,935","92,322","92,697","93,587","91,066","90,518","87,595","86,451",
,,,,,ADT Sa,,,"91,430","95,555","96,023","95,098","92,133","91,905","97,614","92,817","92,487","89,515",
,,,,,ADT Su,,,"82,815","87,976","86,553","89,031","87,217","89,626","87,668","86,034","80,883","81,539",
517,"GOSSAU, OBERBERG (AB)",,SG,A 1,ADT,"57,844","62,739","62,660","63,027","63,980","63,712","59,981","64,135","65,281","64,991","62,429","60,119","62,562"
,,,,,AWT,"61,566","65,095","66,420","67,590","67,994","68,127","62,937","68,382","67,402","67,380","66,498","63,890","66,059"
,,,,,ADT Tu-Th,"61,110","65,067","66,290","67,464","68,419","67,857","62,674","68,352","66,678","66,714","66,562","62,893","65,766"
,,,,,ADT Sa,"54,888","63,040","59,545","58,036","58,977","57,902","55,057","59,712","63,463","61,636","58,388","58,972","59,136"
,,,,,ADT Su,"43,833","50,660","49,984","51,147","52,125","52,867","47,913","53,664","55,431","54,608","50,192","47,684","50,788"
518,ZUERICH HARDTURM (AB),,ZH,A 1H,ADT,"28,975","29,958","30,371","29,573","30,492","30,561","27,501",,,,,,
,,,,,AWT,"30,629","31,284","31,645","31,504","31,731","32,934","28,952",,,,,,
,,,,,ADT Tu-Th,"30,679","31,487","31,678","31,722","31,826","33,242","29,235",,,,,,
,,,,,ADT Sa,"29,068","30,107","30,918","30,328","30,735","29,922","25,902",,,,,,
,,,,,ADT Su,"21,624","23,177","24,474","22,636","25,047","23,076","20,758",,,,,,
521,CAVIANO DOGANA DIRINELLA,,TI,H 405,ADT,,,,,,,,,,,,"3,999",
,,,,,AWT,,,,,,,,,,,,"4,679",
,,,,,ADT Tu-Th,,,,,,,,,,,,"4,761",
,,,,,ADT Sa,,,,,,,,,,,,"3,235",
,,,,,ADT Su,,,,,,,,,,,,"2,130",
522,BELCHEN S (AB),,SO,A 2,ADT,"53,515","57,558","57,431","63,417","62,625","65,943","69,814","72,525","65,494","63,320","56,058","58,564","62,221"
,,,,,AWT,"53,610","57,030","57,424","63,294","62,624","65,086","68,727","70,207","64,196","63,075","56,824","58,381","61,735"
,,,,,ADT Tu-Th,"52,141","55,553","56,306","62,540","61,419","63,672","67,143","68,547","62,370","61,835","56,227","56,280","60,450"
,,,,,ADT Sa,"61,457","66,732","64,003","69,396","66,142","72,277","77,394","80,271","73,715","69,439","59,877","66,775","68,850"
,,,,,ADT Su,"46,744","51,028","50,890","59,841","59,108","64,578","68,482","73,799","64,417","58,612","49,179","53,728","58,524"
523,MUENSINGEN (AB),,BE,A 6,ADT,"48,768","53,150","52,349","50,197","52,099","54,451","53,283","58,542","52,716","52,462","49,763","49,265","52,252"
,,,,,AWT,"50,243","53,955","54,303","53,225","54,302","56,483","55,335","60,700","53,162","54,472","53,017","51,075","54,155"
,,,,,ADT Tu-Th,"49,473","53,038","54,327","53,115","54,315","56,586","55,697","60,052","52,876","54,496","53,184","50,503","53,942"
,,,,,ADT Sa,"48,263","55,837","52,133","49,113","49,829","52,271","51,552","55,400","54,711","50,563","48,627","48,637","51,418"
,,,,,ADT Su,"42,684","46,441","44,362","40,824","45,117","49,132","43,217","53,969","48,265","42,801","37,884","43,351","44,946"
524,OLIVONE - LUCOMAGNO,,TI,H 416,ADT,"1,654","1,585","1,381","1,465","2,058","2,639","2,905","3,522","2,172","1,766","1,280","1,430","1,993"
,,,,,AWT,"1,364","1,311","1,317","1,382","1,776","2,210","2,735","3,081","1,947","1,630","1,253","1,311","1,780"
,,,,,ADT Tu-Th,"1,296","1,276","1,351","1,326","1,690","2,182","2,729","2,835","1,933","1,591","1,239","1,296","1,737"
,,,,,ADT Sa,"2,499","1,953","1,432","1,761","2,439","2,872","3,466","4,025","2,679","2,226","1,442","1,731","2,374"
,,,,,ADT Su,"2,258","2,590","1,597","1,542","2,862","3,915","3,326","4,574","2,900","2,090","1,230","1,647","2,557"
525,TENERO,,TI,A 13,ADT,"29,759","33,105","33,547","36,649","36,902","37,411","39,545","36,149","38,256","38,089","32,997","32,166","35,390"
,,,,,AWT,"32,970","36,911","37,309","40,551","39,618","40,512","41,996","38,552","40,430","40,645","37,146","35,438","38,532"
,,,,,ADT Tu-Th,"33,705","37,055","36,982","40,411","39,187","40,249","41,989","38,657","40,295","40,647","37,305","35,354","38,568"
,,,,,ADT Sa,"25,482","26,396","28,784","32,069","33,817","33,715","35,174","33,985","34,320","33,888","28,171","29,690","31,283"
,,,,,ADT Su,"19,051","20,783","22,506","26,697","28,576","29,541","29,824","29,941","30,235","27,598","21,223","22,366","25,697"
526,INTRAGNA-CENTOVALLI,,TI,H 560,ADT,"2,338","2,699","2,731","3,189","3,204","3,204","3,681","3,276","3,324","3,354","2,708","2,513","3,020"
,,,,,AWT,"2,722","3,189","3,208","3,616","3,534","3,572","4,029","3,533","3,622","3,673","3,251","2,902","3,409"
,,,,,ADT Tu-Th,"2,765","3,147","3,151","3,518","3,443","3,516","4,010","3,490","3,569","3,606","3,236","2,896","3,374"
,,,,,ADT Sa,"1,552","1,552","1,857","2,483","2,572","2,478","2,872","2,881","2,466","2,587","1,778","2,058","2,262"
,,,,,ADT Su,"1,276","1,394","1,602","2,235","2,450","2,463","2,485","2,748","2,544","2,288","1,464","1,455","2,037"
527,GONDO - VS40001,,VS,A 9,ADT,"1,955","2,273","2,508","3,226","3,487","3,943","4,756","4,890","3,740","3,159","2,214","2,483","3,227"
,,,,,AWT,"1,724","2,062","2,299","2,779","2,973","3,336","4,292","4,207","3,325","2,828","2,060","2,336","2,860"
,,,,,ADT Tu-Th,"1,601","1,869","2,199","2,525","2,779","3,079","3,958","3,837","2,955","2,570","1,903","2,118","2,633"
,,,,,ADT Sa,"2,551","2,562","2,781","4,568","4,126","4,508","6,315","5,932","4,707","4,097","2,526","3,347","3,990"
,,,,,ADT Su,"2,496","3,041","3,110","3,820","5,005","5,592","5,870","6,299","5,053","4,121","2,518","2,421","4,113"
528,GURTNELLEN (AB),,UR,A 2,ADT,"17,808","18,577","20,045","25,128","24,615","30,632","33,869","38,455","29,616","26,337","18,046","21,021","25,396"
,,,,,AWT,"16,653","17,567","19,109","23,277","22,999","27,305","31,696","34,420","26,869","24,266","17,297","19,674","23,476"
,,,,,ADT Tu-Th,"15,765","16,322","18,173","22,507","21,251","25,381","30,396","32,088","24,677","22,589","16,273","18,529","22,128"
,,,,,ADT Sa,"20,150","20,159","20,921","28,165","27,588","35,441","39,260","44,903","36,244","31,873","18,827","24,697","28,945"
,,,,,ADT Su,"21,016","22,042","23,098","29,274","28,430","38,515","40,974","46,533","38,100","32,705","20,257","23,287","30,416"
529,WASSEN (AB),,UR,A 2,ADT,"17,590","18,325","19,622","24,425","23,699","29,187","32,239","36,219","28,475","25,422","17,714","20,407","24,488"
,,,,,AWT,"16,415","17,289","18,612","22,536","22,042","25,822","29,960","32,662","25,875","23,435","16,954","19,040","22,598"
,,,,,ADT Tu-Th,"15,551","16,087","17,633","21,912","20,455","24,283","28,906","30,676","23,949","21,900","15,937","17,889","21,389"
